"styles","Freq"
"African",2
"Blues",2
"Classic",2
"Classical",2
"Classique",2
"Contemporary",2
"Country",10
"Downtempo",4
"Electro",14
"ElectroHouse",2
"Electronic",36
"Folk",20
"Funk",18
"Hip-Hop",4
"HipHop",14
"House",2
"IndiePop",2
"IndieRock",2
"Jazz",78
"MinimalTechno",2
"ModernClassical",2
"NeoSoul",2
"Pop",46
"Rap",2
"Reggae",2
"Rock",44
"Soul",18
"Soul-Jazz",2
"Techno",2
"World",12
