"styles","Freq"
"African",1
"Blues",1
"Classical",4
"Contemporary",1
"Country",5
"Downtempo",2
"Electronic",29
"Folk",10
"Funk",9
"Hip-Hop",10
"Jazz",39
"Pop",24
"Reggae",1
"Rock",23
"Soul",11
"World",6
